User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
user001,4532123456789012,2024,1,15,14:30:25,125.50,Chip Transaction,Starbucks Coffee,New York,NY,10001,5814,No,No
user002,5555123456789012,2024,1,15,09:15:10,89.99,Swipe Transaction,Amazon Store,Seattle,WA,98101,5399,No,No
user003,4111123456789012,2024,1,15,18:45:30,2500.00,Chip Transaction,Electronics Plus,Los Angeles,CA,90210,5732,No,Yes
user004,4000123456789012,2024,1,15,12:20:15,45.75,Chip Transaction,McDonald's,Chicago,IL,60601,5814,No,No
user001,4532123456789012,2024,1,15,14:35:40,8.99,Chip Transaction,Subway,New York,NY,10001,5814,No,No
user005,3782123456789012,2024,1,15,20:10:55,199.99,Swipe Transaction,Target Store,Miami,FL,33101,5411,No,No
user002,5555123456789012,2024,1,15,09:20:30,1500.00,Chip Transaction,Apple Store,Seattle,WA,98101,5732,No,Yes
user006,4532123456789013,2024,1,15,16:30:20,67.50,Chip Transaction,Gas Station,Houston,TX,77001,5541,No,No
user007,5105123456789012,2024,1,15,11:45:15,234.99,Chip Transaction,Best Buy,Phoenix,AZ,85001,5732,No,No
user003,4111123456789012,2024,1,15,19:15:45,3000.00,Swipe Transaction,Luxury Goods,Los Angeles,CA,90210,5944,No,Yes
user008,4716123456789012,2024,1,15,08:30:10,15.99,Chip Transaction,Coffee Shop,Portland,OR,97201,5814,No,No
user004,4000123456789012,2024,1,15,13:45:25,156.78,Chip Transaction,Grocery Store,Chicago,IL,60601,5411,No,No
user009,5555123456789013,2024,1,15,15:20:30,89.99,Chip Transaction,Bookstore,Boston,MA,02101,5942,No,No
user010,4532123456789014,2024,1,15,17:10:40,45.50,Swipe Transaction,Restaurant,Denver,CO,80201,5812,No,No
user001,4532123456789012,2024,1,15,14:40:50,12.99,Chip Transaction,Parking Meter,New York,NY,10001,7523,No,No
user005,3782123456789012,2024,1,15,21:30:15,299.99,Chip Transaction,Department Store,Miami,FL,33101,5311,No,No
user011,4111123456789013,2024,1,15,10:15:20,1899.99,Chip Transaction,Jewelry Store,Las Vegas,NV,89101,5944,No,Yes
user006,4532123456789013,2024,1,15,16:45:30,78.90,Chip Transaction,Pharmacy,Houston,TX,77001,5912,No,No
user012,5105123456789013,2024,1,15,14:20:40,125.00,Swipe Transaction,Hotel,San Francisco,CA,94101,7011,No,No
user002,5555123456789012,2024,1,15,09:50:25,25.99,Chip Transaction,Fast Food,Seattle,WA,98101,5814,No,No
user013,4532123456789015,2024,1,16,08:15:30,34.99,Chip Transaction,Walmart,Dallas,TX,75201,5411,No,No
user014,5555123456789014,2024,1,16,11:22:45,189.99,Chip Transaction,Home Depot,Atlanta,GA,30301,5211,No,No
user015,4111123456789014,2024,1,16,14:33:20,2800.00,Swipe Transaction,Casino,Las Vegas,NV,89101,7995,No,Yes
user007,5105123456789012,2024,1,16,16:45:10,67.89,Chip Transaction,Shell Gas,Phoenix,AZ,85001,5541,No,No
user016,3782123456789013,2024,1,16,19:10:55,1200.00,Chip Transaction,Louis Vuitton,Beverly Hills,CA,90210,5094,No,Yes
user008,4716123456789012,2024,1,16,09:30:15,22.50,Chip Transaction,Dunkin Donuts,Portland,OR,97201,5814,No,No
user017,4000123456789013,2024,1,16,12:15:40,89.99,Chip Transaction,CVS Pharmacy,Minneapolis,MN,55401,5912,No,No
user018,5555123456789015,2024,1,16,15:45:25,145.75,Swipe Transaction,Nordstrom,San Diego,CA,92101,5651,No,No
user019,4532123456789016,2024,1,16,18:20:30,56.99,Chip Transaction,Olive Garden,Orlando,FL,32801,5812,No,No
user003,4111123456789012,2024,1,16,20:55:45,4500.00,Chip Transaction,Rolex Store,New York,NY,10001,5944,No,Yes
user020,5105123456789014,2024,1,16,07:30:10,15.99,Chip Transaction,7-Eleven,Tampa,FL,33601,5499,No,No
user014,5555123456789014,2024,1,16,10:45:20,234.56,Chip Transaction,Costco,Atlanta,GA,30301,5399,No,No
user021,4716123456789013,2024,1,16,13:22:35,78.90,Swipe Transaction,Chipotle,Nashville,TN,37201,5814,No,No
user009,5555123456789013,2024,1,16,16:10:15,299.99,Chip Transaction,Barnes & Noble,Boston,MA,02101,5942,No,No
user022,3782123456789014,2024,1,16,19:35:50,1500.00,Chip Transaction,Tiffany & Co,Chicago,IL,60601,5944,No,Yes
user023,4532123456789017,2024,1,16,08:45:25,45.67,Chip Transaction,Mobil Gas,Kansas City,MO,64101,5541,No,No
user024,4111123456789015,2024,1,16,11:20:40,167.89,Chip Transaction,Macy's,Detroit,MI,48201,5651,No,No
user012,5105123456789013,2024,1,16,14:55:15,89.99,Swipe Transaction,Marriott Hotel,San Francisco,CA,94101,7011,No,No
user025,5555123456789016,2024,1,16,17:30:30,234.50,Chip Transaction,Whole Foods,Austin,TX,78701,5411,No,No
user013,4532123456789015,2024,1,16,20:15:45,12.99,Chip Transaction,McDonald's,Dallas,TX,75201,5814,No,No
user026,4000123456789014,2024,1,17,08:20:10,78.99,Chip Transaction,Walgreens,Cleveland,OH,44101,5912,No,No
user027,4716123456789014,2024,1,17,11:45:25,456.78,Chip Transaction,Best Buy,Columbus,OH,43201,5732,No,No
user015,4111123456789014,2024,1,17,14:30:40,3200.00,Swipe Transaction,Luxury Casino,Las Vegas,NV,89101,7995,No,Yes
user028,5105123456789015,2024,1,17,17:10:55,89.50,Chip Transaction,Target,Indianapolis,IN,46201,5411,No,No
user016,3782123456789013,2024,1,17,19:55:15,2100.00,Chip Transaction,Gucci Store,Beverly Hills,CA,90210,5094,No,Yes
user029,5555123456789017,2024,1,17,09:25:30,34.99,Chip Transaction,Starbucks,Charlotte,NC,28201,5814,No,No
user030,4532123456789018,2024,1,17,12:40:45,145.67,Swipe Transaction,Office Depot,Raleigh,NC,27601,5943,No,No
user018,5555123456789015,2024,1,17,15:15:20,278.90,Chip Transaction,Saks Fifth Avenue,San Diego,CA,92101,5651,No,No
user031,4111123456789016,2024,1,17,18:30:35,67.89,Chip Transaction,Red Lobster,Virginia Beach,VA,23451,5812,No,No
user019,4532123456789016,2024,1,17,21:45:50,89.99,Chip Transaction,TGI Friday's,Orlando,FL,32801,5812,No,No
user032,4000123456789015,2024,1,17,07:15:10,23.45,Chip Transaction,Subway,Jacksonville,FL,32201,5814,No,No
